[0.000000] (-) TimerEvent: {}
[0.000058] (-) JobUnselected: {'identifier': 'dsr_bringup2'}
[0.000082] (-) JobUnselected: {'identifier': 'dsr_common2'}
[0.000098] (-) JobUnselected: {'identifier': 'dsr_controller2'}
[0.000113] (-) JobUnselected: {'identifier': 'dsr_description2'}
[0.000127] (-) JobUnselected: {'identifier': 'dsr_example'}
[0.000141] (-) JobUnselected: {'identifier': 'dsr_gazebo2'}
[0.000154] (-) JobUnselected: {'identifier': 'dsr_hardware2'}
[0.000168] (-) JobUnselected: {'identifier': 'dsr_moveit_config_a0509'}
[0.000181] (-) JobUnselected: {'identifier': 'dsr_moveit_config_a0912'}
[0.000194] (-) JobUnselected: {'identifier': 'dsr_moveit_config_e0509'}
[0.000207] (-) JobUnselected: {'identifier': 'dsr_moveit_config_h2017'}
[0.000220] (-) JobUnselected: {'identifier': 'dsr_moveit_config_h2515'}
[0.000233] (-) JobUnselected: {'identifier': 'dsr_moveit_config_m0609'}
[0.000246] (-) JobUnselected: {'identifier': 'dsr_moveit_config_m0617'}
[0.000259] (-) JobUnselected: {'identifier': 'dsr_moveit_config_m1013'}
[0.000272] (-) JobUnselected: {'identifier': 'dsr_moveit_config_m1509'}
[0.000284] (-) JobUnselected: {'identifier': 'dsr_moveit_config_p3020'}
[0.000297] (-) JobUnselected: {'identifier': 'dsr_msgs2'}
[0.000312] (-) JobUnselected: {'identifier': 'dsr_realtime_control'}
[0.000326] (-) JobUnselected: {'identifier': 'dsr_tests'}
[0.000339] (-) JobUnselected: {'identifier': 'dsr_visualservoing'}
[0.000352] (-) JobUnselected: {'identifier': 'od_msg'}
[0.000365] (-) JobUnselected: {'identifier': 'pick_and_place_text'}
[0.000378] (-) JobUnselected: {'identifier': 'pick_and_place_voice'}
[0.000391] (-) JobUnselected: {'identifier': 'rokey'}
[0.000403] (-) JobUnselected: {'identifier': 'soma_cube_rl_bridge'}
[0.000417] (-) EventReactorShutdown: {}
